replication,strategy,budget,best_r2
2,AIBA,97,0.9974394012324491
2,AIBA,98,0.9974394012324491
2,AIBA,99,0.9974394012324491
2,AIBA,100,0.9974394012324491
2,AIBA,101,0.9974394012324491
2,AIBA,102,0.9974394012324491
2,AIBA,103,0.9974394012324491
2,AIBA,104,0.9974394012324491
2,AIBA,105,0.9974394012324491
2,AIBA,106,0.9974394012324491
2,AIBA,107,0.9974394012324491
2,AIBA,108,0.9974394012324491
2,AIBA,109,0.9974394012324491
2,AIBA,110,0.9974394012324491
2,AIBA,111,0.9974394012324491
2,AIBA,112,0.9974394012324491
2,AIBA,113,0.9974394012324491
2,AIBA,114,0.9974394012324491
2,AIBA,115,0.9974394012324491
2,AIBA,116,0.9974394012324491
2,AIBA,117,0.9974394012324491
2,AIBA,118,0.9974394012324491
2,AIBA,119,0.9974394012324491
2,AIBA,120,0.9974394012324491
2,Broad,1,-0.062060673364847885
2,Broad,2,0.9445242475976269
2,Broad,3,0.9445242475976269
2,Broad,4,0.9445242475976269
2,Broad,5,0.9445242475976269
2,Broad,6,0.9445242475976269
2,Broad,7,0.9445242475976269
2,Broad,8,0.9445242475976269
2,Broad,9,0.9509276848293121
2,Broad,10,0.9509276848293121
2,Broad,11,0.9509276848293121
2,Broad,12,0.9509276848293121
2,Broad,13,0.9974394012324491
2,Broad,14,0.9974394012324491
2,Broad,15,0.9974394012324491
2,Broad,16,0.9974394012324491
2,Broad,17,0.9974394012324491
2,Broad,18,0.9974394012324491
2,Broad,19,0.9974394012324491
2,Broad,20,0.9974394012324491
2,Broad,21,0.9974394012324491
2,Broad,22,0.9974394012324491
2,Broad,23,0.9974394012324491
2,Broad,24,0.9974394012324491
2,Broad,25,0.9974394012324491
2,Broad,26,0.9974394012324491
2,Broad,27,0.9974394012324491
2,Broad,28,0.9974394012324491
2,Broad,29,0.9974394012324491
2,Broad,30,0.9974394012324491
2,Broad,31,0.9974394012324491
2,Broad,32,0.9974394012324491
2,Broad,33,0.9974394012324491
2,Broad,34,0.9974394012324491
2,Broad,35,0.9974394012324491
2,Broad,36,0.9974394012324491
2,Broad,37,0.9974394012324491
2,Broad,38,0.9974394012324491
2,Broad,39,0.9974394012324491
2,Broad,40,0.9974394012324491
2,Broad,41,0.9974394012324491
2,Broad,42,0.9974394012324491
2,Broad,43,0.9974394012324491
2,Broad,44,0.9974394012324491
2,Broad,45,0.9974394012324491
2,Broad,46,0.9974394012324491
2,Broad,47,0.9974394012324491
2,Broad,48,0.9974394012324491
2,Broad,49,0.9974394012324491
2,Broad,50,0.9974394012324491
2,Broad,51,0.9974394012324491
