batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
7,2,0.010445719391243962,6,0.3567271433049101,3,0.5,-0.27213190618722805,0.478139300015755,2,133,132033,1,broad_extension
1,95,0.0019950992417398466,544,0.02624318866979338,2,1.0,0.9695963670836008,46.56751039996743,95,300833,132034,1,broad_extension
12,3,3.141587208129006e-05,3,0.0031157923641841447,1,1.0,-0.5435042667450953,0.3424427999416366,3,25,132035,1,broad_extension
46,5,0.00010203903351702352,148,1.9699002321641816e-05,3,0.0,-0.5311372169941515,0.48830359999556094,5,45289,132036,1,broad_extension
1,11,0.06844487240998445,244,0.008220889726434508,3,0.0,-0.15647708586798115,2.6766474000178277,11,121513,132037,1,broad_extension
14,229,0.00010905105233561185,4,1.682101864148661e-05,3,1.0,-0.2282295624961721,3.104018099955283,229,73,132038,1,broad_extension
116,4,8.03994428805856e-05,12,0.10370126139058851,3,0.5,-0.4812882316952021,0.4408566999481991,4,409,132039,1,broad_extension
95,2,0.05389024696249065,217,0.0016966127550352556,2,0.0,0.8860416076712649,0.3625981999794021,2,49043,132040,1,broad_extension
3,11,0.030633429920975532,91,0.0001687858046155297,3,1.0,0.7367385608788939,1.0244409999577329,11,17473,132041,1,broad_extension
2,3,0.00010000011927314353,85,2.1889204826638865e-05,3,0.5,-0.3497912754717196,0.7802547999890521,3,15301,132042,1,broad_extension
10,42,0.0038029317306505404,52,0.110634759136205,3,0.5,0.965559170017333,1.2545888000167906,42,5929,132043,1,broad_extension
182,7,0.0027351313468767366,57,0.00010375482361626019,3,1.0,-0.04509086722581768,0.44736729993019253,7,7069,132044,1,broad_extension
39,4,0.0009707920810900399,9,0.0050668384302585325,2,0.5,-0.64439756339623,0.3834354999708012,4,163,132045,1,broad_extension
207,2,0.0017411054029536895,34,5.726258349163568e-05,3,1.0,-0.5411224117216578,0.41778460005298257,2,2653,132046,1,broad_extension
68,3,0.013237283603732103,185,0.001652737265504439,3,0.5,-0.062060673364847885,0.4470838999841362,3,70301,212027,2,initial_shared
5,15,0.006853798943007948,52,0.0005159767690251604,1,0.0,0.9445242475976269,0.7507221999112517,15,417,212028,2,initial_shared
16,115,3.7404639727973194e-05,4,0.16895495521275977,2,0.5,-0.42621653300935436,1.5850920000812039,115,53,212029,2,initial_shared
45,1,9.437752664857128e-05,12,4.535015598874037e-05,3,0.0,-0.7242198229015684,0.935386799974367,1,409,212030,2,initial_shared
